trial,learning_rate,n_steps,ent_coef,net_arch,activation_fn,n_epochs,clip_range,batch_size,survival_rate,mean_return
237,0.0001,2048,0.005,"[128, 128]",ReLU,10,0.1,128,0.73,0.6894125
459,0.0003,1024,0.005,"[128, 128]",Tanh,5,0.1,128,0.73,0.6695
647,0.0003,2048,0.01,"[256, 128]",Tanh,20,0.3,128,0.73,0.6536375000000001
132,0.0001,1024,0.005,"[128, 128]",ReLU,20,0.1,128,0.73,0.6691250000000001
108,0.0001,1024,0.005,"[64, 64]",ReLU,5,0.1,128,0.73,0.6627625
73,0.0001,512,0.01,"[128, 128]",ReLU,5,0.2,128,0.73,0.7099500000000001
20,0.0001,512,0.005,"[128, 128]",ReLU,5,0.3,128,0.73,0.73
19,0.0001,512,0.005,"[128, 128]",ReLU,5,0.2,128,0.73,0.7124125000000001
84,0.0001,512,0.01,"[128, 128]",Tanh,10,0.1,128,0.73,0.6978875000000001
88,0.0001,512,0.01,"[128, 128]",Tanh,20,0.2,128,0.73,0.6830375000000001
99,0.0001,512,0.01,"[256, 128]",Tanh,5,0.1,128,0.73,0.644725
104,0.0001,512,0.01,"[256, 128]",Tanh,10,0.3,128,0.73,0.7060125
156,0.0001,1024,0.005,"[256, 128]",Tanh,10,0.1,128,0.73,0.6755249999999999
120,0.0001,1024,0.005,"[64, 64]",Tanh,10,0.1,128,0.73,0.7065625
116,0.0001,1024,0.005,"[64, 64]",ReLU,20,0.3,128,0.73,0.7129125000000001
128,0.0001,1024,0.005,"[128, 128]",ReLU,5,0.3,128,0.73,0.7298875000000001
317,0.0001,2048,0.01,"[256, 128]",Tanh,5,0.3,128,0.725,0.6602125000000001
224,0.0001,2048,0.005,"[64, 64]",ReLU,20,0.3,128,0.725,0.7092500000000002
408,0.0003,512,0.01,"[128, 128]",Tanh,10,0.1,128,0.725,0.6751375000000001
230,0.0001,2048,0.005,"[64, 64]",Tanh,10,0.3,128,0.725,0.6863125000000001
227,0.0001,2048,0.005,"[64, 64]",Tanh,5,0.3,128,0.725,0.6504875
226,0.0001,2048,0.005,"[64, 64]",Tanh,5,0.2,128,0.725,0.6504875
437,0.0003,1024,0.005,"[64, 64]",ReLU,10,0.3,128,0.725,0.6890375
403,0.0003,512,0.01,"[128, 128]",ReLU,20,0.2,128,0.725,0.6673375
440,0.0003,1024,0.005,"[64, 64]",ReLU,20,0.3,128,0.725,0.6643875
462,0.0003,1024,0.005,"[128, 128]",Tanh,10,0.1,128,0.725,0.6621625
466,0.0003,1024,0.005,"[128, 128]",Tanh,20,0.2,128,0.725,0.6458125
470,0.0003,1024,0.005,"[256, 128]",ReLU,5,0.3,128,0.725,0.680375
